column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,fulldate,fulltime,fulldatewithtime,date
48,T00252644,A00000866,Credit,Credit in Cash,500.0,500.0,,,,2013,1,10,2013-01-10,10:45:25,2013-01-10T10:45:25,2013-01-10
52,T00252645,A00000866,Credit,Credit in Cash,12644.0,13144.0,,,,2013,1,11,2013-01-11,15:04:16,2013-01-11T15:04:16,2013-01-11
141,T03558798,A00000866,Credit,,37.1,13181.1,Interest Credited,,,2013,1,31,2013-01-31,09:37:14,2013-01-31T09:37:14,2013-01-31
286,T00253162,A00000866,Credit,Credit in Cash,5400.0,18581.1,,,,2013,2,9,2013-02-09,13:51:50,2013-02-09T13:51:50,2013-02-09
314,T00252646,A00000866,Credit,Credit in Cash,12644.0,31225.1,,,,2013,2,11,2013-02-11,12:08:26,2013-02-11T12:08:26,2013-02-11
477,T03558799,A00000866,Credit,,103.2,31328.3,Interest Credited,,,2013,2,28,2013-02-28,09:12:05,2013-02-28T09:12:05,2013-02-28
782,T00253163,A00000866,Debit,Cash Withdrawal,8400.0,35572.3,,,,2013,3,11,2013-03-11,10:27:52,2013-03-11T10:27:52,2013-03-11
783,T00252647,A00000866,Credit,Credit in Cash,12644.0,43972.3,,,,2013,3,11,2013-03-11,15:02:56,2013-03-11T15:02:56,2013-03-11
1082,T03558800,A00000866,Credit,,166.1,35738.4,Interest Credited,,,2013,3,31,2013-03-31,12:50:54,2013-03-31T12:50:54,2013-03-31
1502,T00253164,A00000866,Debit,Cash Withdrawal,4800.0,30938.4,,,,2013,4,10,2013-04-10,08:58:36,2013-04-10T08:58:36,2013-04-10
1528,T00252648,A00000866,Credit,Credit in Cash,12644.0,43582.4,,,,2013,4,11,2013-04-11,13:46:36,2013-04-11T13:46:36,2013-04-11
1920,T03558801,A00000866,Credit,,182.1,43764.4,Interest Credited,,,2013,4,30,2013-04-30,09:00:23,2013-04-30T09:00:23,2013-04-30
2521,T00253165,A00000866,Debit,Cash Withdrawal,7700.0,36064.4,,,,2013,5,10,2013-05-10,08:56:50,2013-05-10T08:56:50,2013-05-10
2562,T00252649,A00000866,Credit,Credit in Cash,12644.0,48708.4,,,,2013,5,11,2013-05-11,11:20:51,2013-05-11T11:20:51,2013-05-11
3119,T03558802,A00000866,Credit,,195.9,48904.4,Interest Credited,,,2013,5,31,2013-05-31,10:57:42,2013-05-31T10:57:42,2013-05-31
3445,T00253095,A00000866,Debit,Cash Withdrawal,14.6,48889.8,Payment on Statement,,,2013,5,31,2013-05-31,16:14:23,2013-05-31T16:14:23,2013-05-31
3535,T00253063,A00000866,Debit,Cash Withdrawal,3900.0,44989.8,,,,2013,6,3,2013-06-03,16:32:54,2013-06-03T16:32:54,2013-06-03
3627,T00252938,A00000866,Debit,Remittance to Another Bank,3844.0,41145.8, ,U.S. Bancorp,70676672.0,2013,6,5,2013-06-05,09:13:15,2013-06-05T09:13:15,2013-06-05
3857,T00252866,A00000866,Debit,Remittance to Another Bank,504.0,40641.8,Insurance Payment,Bank of America,94022661.0,2013,6,8,2013-06-08,12:36:47,2013-06-08T12:36:47,2013-06-08
3858,T00252722,A00000866,Debit,Remittance to Another Bank,465.0,40176.8,Household,State Street Corp.,81990486.0,2013,6,8,2013-06-08,10:40:19,2013-06-08T10:40:19,2013-06-08
3933,T00253166,A00000866,Debit,Cash Withdrawal,9000.0,31176.8,,,,2013,6,9,2013-06-09,09:03:35,2013-06-09T09:03:35,2013-06-09
3996,T00252794,A00000866,Debit,Remittance to Another Bank,38.0,31138.8, ,Citigroup,26753026.0,2013,6,10,2013-06-10,09:19:45,2013-06-10T09:19:45,2013-06-10
4059,T00252650,A00000866,Credit,Credit in Cash,18966.0,50104.8,,,,2013,6,11,2013-06-11,10:37:55,2013-06-11T10:37:55,2013-06-11
4479,T00253005,A00000866,Debit,Cash Withdrawal,23200.0,26904.8,,,,2013,6,19,2013-06-19,13:45:50,2013-06-19T13:45:50,2013-06-19
4821,T03558803,A00000866,Credit,,158.9,27063.7,Interest Credited,,,2013,6,30,2013-06-30,15:29:01,2013-06-30T15:29:01,2013-06-30
5307,T00253096,A00000866,Debit,Cash Withdrawal,14.6,27049.1,Payment on Statement,,,2013,6,30,2013-06-30,14:16:23,2013-06-30T14:16:23,2013-06-30
5533,T00252939,A00000866,Debit,Remittance to Another Bank,3844.0,23205.1, ,U.S. Bancorp,70676672.0,2013,7,5,2013-07-05,14:54:50,2013-07-05T14:54:50,2013-07-05
5845,T00252723,A00000866,Debit,Remittance to Another Bank,465.0,22740.1,Household,State Street Corp.,81990486.0,2013,7,8,2013-07-08,13:45:08,2013-07-08T13:45:08,2013-07-08
5846,T00252867,A00000866,Debit,Remittance to Another Bank,504.0,22236.1,Insurance Payment,Bank of America,94022661.0,2013,7,8,2013-07-08,12:05:59,2013-07-08T12:05:59,2013-07-08
5950,T00253167,A00000866,Debit,Cash Withdrawal,400.0,21836.1,,,,2013,7,9,2013-07-09,16:18:54,2013-07-09T16:18:54,2013-07-09
6028,T00252795,A00000866,Debit,Remittance to Another Bank,38.0,21798.1, ,Citigroup,26753026.0,2013,7,10,2013-07-10,16:01:11,2013-07-10T16:01:11,2013-07-10
6119,T00252651,A00000866,Credit,Credit in Cash,12644.0,34442.1,,,,2013,7,11,2013-07-11,11:54:12,2013-07-11T11:54:12,2013-07-11
7052,T03558804,A00000866,Credit,,131.4,34573.5,Interest Credited,,,2013,7,31,2013-07-31,08:17:52,2013-07-31T08:17:52,2013-07-31
7695,T00253097,A00000866,Debit,Cash Withdrawal,14.6,34558.9,Payment on Statement,,,2013,7,31,2013-07-31,13:53:26,2013-07-31T13:53:26,2013-07-31
8012,T00252940,A00000866,Debit,Remittance to Another Bank,3844.0,30714.9, ,U.S. Bancorp,70676672.0,2013,8,5,2013-08-05,10:35:20,2013-08-05T10:35:20,2013-08-05
8374,T00252868,A00000866,Debit,Remittance to Another Bank,504.0,28245.9,Insurance Payment,Bank of America,94022661.0,2013,8,8,2013-08-08,16:53:48,2013-08-08T16:53:48,2013-08-08
8375,T00253168,A00000866,Debit,Cash Withdrawal,1500.0,29214.9,,,,2013,8,8,2013-08-08,14:24:50,2013-08-08T14:24:50,2013-08-08
8377,T00252724,A00000866,Debit,Remittance to Another Bank,465.0,28749.9,Household,State Street Corp.,81990486.0,2013,8,8,2013-08-08,16:29:27,2013-08-08T16:29:27,2013-08-08
8601,T00252796,A00000866,Debit,Remittance to Another Bank,38.0,28207.9, ,Citigroup,26753026.0,2013,8,10,2013-08-10,13:11:15,2013-08-10T13:11:15,2013-08-10
8727,T00252652,A00000866,Credit,Credit in Cash,12644.0,40851.9,,,,2013,8,11,2013-08-11,09:55:28,2013-08-11T09:55:28,2013-08-11
9803,T03558805,A00000866,Credit,,159.0,41010.9,Interest Credited,,,2013,8,31,2013-08-31,16:11:29,2013-08-31T16:11:29,2013-08-31
10613,T00253098,A00000866,Debit,Cash Withdrawal,14.6,40996.3,Payment on Statement,,,2013,8,31,2013-08-31,11:42:28,2013-08-31T11:42:28,2013-08-31
10983,T00252941,A00000866,Debit,Remittance to Another Bank,3844.0,37152.3, ,U.S. Bancorp,70676672.0,2013,9,5,2013-09-05,13:05:60,2013-09-05T13:05:60,2013-09-05
11321,T00253169,A00000866,Debit,Cash Withdrawal,4000.0,33152.3,,,,2013,9,7,2013-09-07,10:46:16,2013-09-07T10:46:16,2013-09-07
11451,T00252725,A00000866,Debit,Remittance to Another Bank,465.0,32183.3,Household,State Street Corp.,81990486.0,2013,9,8,2013-09-08,08:41:25,2013-09-08T08:41:25,2013-09-08
11452,T00252869,A00000866,Debit,Remittance to Another Bank,504.0,32648.3,Insurance Payment,Bank of America,94022661.0,2013,9,8,2013-09-08,14:58:24,2013-09-08T14:58:24,2013-09-08
11732,T00252797,A00000866,Debit,Remittance to Another Bank,38.0,32145.3, ,Citigroup,26753026.0,2013,9,10,2013-09-10,13:36:26,2013-09-10T13:36:26,2013-09-10
11866,T00252653,A00000866,Credit,Credit in Cash,12644.0,44789.3,,,,2013,9,11,2013-09-11,09:56:12,2013-09-11T09:56:12,2013-09-11
12840,T00253060,A00000866,Debit,Cash Withdrawal,2100.0,42689.3,,,,2013,9,26,2013-09-26,12:56:36,2013-09-26T12:56:36,2013-09-26
13087,T03558806,A00000866,Credit,,174.9,42864.3,Interest Credited,,,2013,9,30,2013-09-30,16:25:52,2013-09-30T16:25:52,2013-09-30
14051,T00253099,A00000866,Debit,Cash Withdrawal,14.6,42849.7,Payment on Statement,,,2013,9,30,2013-09-30,14:46:02,2013-09-30T14:46:02,2013-09-30
14470,T00252942,A00000866,Debit,Remittance to Another Bank,3844.0,39005.7, ,U.S. Bancorp,70676672.0,2013,10,5,2013-10-05,13:27:48,2013-10-05T13:27:48,2013-10-05
14831,T00253170,A00000866,Debit,Cash Withdrawal,7800.0,31205.7,,,,2013,10,7,2013-10-07,12:34:32,2013-10-07T12:34:32,2013-10-07
14988,T00252726,A00000866,Debit,Remittance to Another Bank,465.0,30236.7,Household,State Street Corp.,81990486.0,2013,10,8,2013-10-08,09:02:38,2013-10-08T09:02:38,2013-10-08
14989,T00252870,A00000866,Debit,Remittance to Another Bank,504.0,30701.7,Insurance Payment,Bank of America,94022661.0,2013,10,8,2013-10-08,09:07:09,2013-10-08T09:07:09,2013-10-08
15317,T00252798,A00000866,Debit,Remittance to Another Bank,38.0,30198.7, ,Citigroup,26753026.0,2013,10,10,2013-10-10,16:02:51,2013-10-10T16:02:51,2013-10-10
15484,T00252654,A00000866,Credit,Credit in Cash,12644.0,42842.7,,,,2013,10,11,2013-10-11,11:17:21,2013-10-11T11:17:21,2013-10-11
16940,T03558807,A00000866,Credit,,171.7,43014.3,Interest Credited,,,2013,10,31,2013-10-31,15:09:31,2013-10-31T15:09:31,2013-10-31
18026,T00253100,A00000866,Debit,Cash Withdrawal,14.6,42999.7,Payment on Statement,,,2013,10,31,2013-10-31,08:56:36,2013-10-31T08:56:36,2013-10-31
18514,T00252943,A00000866,Debit,Remittance to Another Bank,3844.0,39155.7, ,U.S. Bancorp,70676672.0,2013,11,5,2013-11-05,10:55:48,2013-11-05T10:55:48,2013-11-05
18715,T00253171,A00000866,Debit,Cash Withdrawal,8700.0,30455.7,,,,2013,11,6,2013-11-06,13:09:23,2013-11-06T13:09:23,2013-11-06
19087,T00252871,A00000866,Debit,Remittance to Another Bank,504.0,29951.7,Insurance Payment,Bank of America,94022661.0,2013,11,8,2013-11-08,10:54:58,2013-11-08T10:54:58,2013-11-08
19089,T00252727,A00000866,Debit,Remittance to Another Bank,465.0,29486.7,Household,State Street Corp.,81990486.0,2013,11,8,2013-11-08,15:49:44,2013-11-08T15:49:44,2013-11-08
19433,T00252799,A00000866,Debit,Remittance to Another Bank,38.0,29448.7, ,Citigroup,26753026.0,2013,11,10,2013-11-10,12:52:60,2013-11-10T12:52:60,2013-11-10
19617,T00252655,A00000866,Credit,Credit in Cash,12644.0,42092.7,,,,2013,11,11,2013-11-11,08:37:01,2013-11-11T08:37:01,2013-11-11
20042,T00253062,A00000866,Debit,Cash Withdrawal,3300.0,38792.7,,,,2013,11,13,2013-11-13,11:58:09,2013-11-13T11:58:09,2013-11-13
21207,T03558808,A00000866,Credit,,159.2,38951.9,Interest Credited,,,2013,11,30,2013-11-30,15:16:52,2013-11-30T15:16:52,2013-11-30
22441,T00253101,A00000866,Debit,Cash Withdrawal,14.6,38937.3,Payment on Statement,,,2013,11,30,2013-11-30,09:06:19,2013-11-30T09:06:19,2013-11-30
23057,T00252944,A00000866,Debit,Remittance to Another Bank,3844.0,35093.3, ,U.S. Bancorp,70676672.0,2013,12,5,2013-12-05,09:19:55,2013-12-05T09:19:55,2013-12-05
23287,T00253172,A00000866,Debit,Cash Withdrawal,4100.0,30993.3,,,,2013,12,6,2013-12-06,11:08:44,2013-12-06T11:08:44,2013-12-06
23536,T00253061,A00000866,Debit,Cash Withdrawal,2800.0,28193.3,,,,2013,12,7,2013-12-07,10:04:60,2013-12-07T10:04:60,2013-12-07
23757,T00252728,A00000866,Debit,Remittance to Another Bank,465.0,27728.3,Household,State Street Corp.,81990486.0,2013,12,8,2013-12-08,09:00:21,2013-12-08T09:00:21,2013-12-08
23760,T00252872,A00000866,Debit,Remittance to Another Bank,504.0,27224.3,Insurance Payment,Bank of America,94022661.0,2013,12,8,2013-12-08,11:33:19,2013-12-08T11:33:19,2013-12-08
24219,T00252800,A00000866,Debit,Remittance to Another Bank,38.0,27186.3, ,Citigroup,26753026.0,2013,12,10,2013-12-10,15:13:41,2013-12-10T15:13:41,2013-12-10
24458,T00252656,A00000866,Credit,Credit in Cash,18966.0,46152.3,,,,2013,12,11,2013-12-11,13:01:30,2013-12-11T13:01:30,2013-12-11
25421,T00253064,A00000866,Debit,Cash Withdrawal,4400.0,41752.3,,,,2013,12,16,2013-12-16,16:20:28,2013-12-16T16:20:28,2013-12-16
25826,T00253017,A00000866,Debit,Cash Withdrawal,1300.0,40452.3,,,,2013,12,21,2013-12-21,09:13:19,2013-12-21T09:13:19,2013-12-21
26670,T03558809,A00000866,Credit,,163.7,40616.0,Interest Credited,,,2013,12,31,2013-12-31,10:17:16,2013-12-31T10:17:16,2013-12-31
28096,T00253102,A00000866,Debit,Cash Withdrawal,14.6,40601.4,Payment on Statement,,,2013,12,31,2013-12-31,10:55:17,2013-12-31T10:55:17,2013-12-31
28695,T00253032,A00000866,Debit,Cash Withdrawal,2000.0,38601.4,,,,2014,1,3,2014-01-03,13:10:52,2014-01-03T13:10:52,2014-01-03
29220,T00252945,A00000866,Debit,Remittance to Another Bank,3844.0,32457.4, ,U.S. Bancorp,70676672.0,2014,1,5,2014-01-05,16:02:45,2014-01-05T16:02:45,2014-01-05
29222,T00253173,A00000866,Debit,Cash Withdrawal,2300.0,36301.4,,,,2014,1,5,2014-01-05,16:05:28,2014-01-05T16:05:28,2014-01-05
30307,T00252873,A00000866,Debit,Remittance to Another Bank,504.0,31953.4,Insurance Payment,Bank of America,94022661.0,2014,1,8,2014-01-08,09:10:49,2014-01-08T09:10:49,2014-01-08
30310,T00252729,A00000866,Debit,Remittance to Another Bank,465.0,31488.4,Household,State Street Corp.,81990486.0,2014,1,8,2014-01-08,14:33:54,2014-01-08T14:33:54,2014-01-08
30670,T00253031,A00000866,Debit,Cash Withdrawal,1200.0,30288.4,,,,2014,1,9,2014-01-09,08:14:36,2014-01-09T08:14:36,2014-01-09
30995,T00252801,A00000866,Debit,Remittance to Another Bank,38.0,30250.4, ,Citigroup,26753026.0,2014,1,10,2014-01-10,08:41:44,2014-01-10T08:41:44,2014-01-10
31335,T00252657,A00000866,Credit,Credit in Cash,12644.0,42894.4,,,,2014,1,11,2014-01-11,13:37:39,2014-01-11T13:37:39,2014-01-11
32170,T00253030,A00000866,Debit,Cash Withdrawal,1000.0,33494.4,,,,2014,1,13,2014-01-13,12:05:26,2014-01-13T12:05:26,2014-01-13
32171,T00253012,A00000866,Debit,Cash Withdrawal,8400.0,34494.4,,,,2014,1,13,2014-01-13,11:47:51,2014-01-13T11:47:51,2014-01-13
32740,T00253029,A00000866,Debit,Cash Withdrawal,1200.0,32294.4,,,,2014,1,15,2014-01-15,09:19:25,2014-01-15T09:19:25,2014-01-15
35036,T00253034,A00000866,Debit,Cash Withdrawal,2100.0,30194.4,,,,2014,1,28,2014-01-28,15:01:39,2014-01-28T15:01:39,2014-01-28
35202,T00253033,A00000866,Debit,Cash Withdrawal,2600.0,27594.4,,,,2014,1,29,2014-01-29,13:32:14,2014-01-29T13:32:14,2014-01-29
35630,T03558810,A00000866,Credit,,139.5,27733.9,Interest Credited,,,2014,1,31,2014-01-31,14:34:30,2014-01-31T14:34:30,2014-01-31
37228,T00253103,A00000866,Debit,Cash Withdrawal,14.6,27719.3,Payment on Statement,,,2014,1,31,2014-01-31,09:37:36,2014-01-31T09:37:36,2014-01-31
37583,T00253174,A00000866,Debit,Cash Withdrawal,1100.0,26619.3,,,,2014,2,4,2014-02-04,09:48:49,2014-02-04T09:48:49,2014-02-04
37823,T00252946,A00000866,Debit,Remittance to Another Bank,3844.0,22775.3, ,U.S. Bancorp,70676672.0,2014,2,5,2014-02-05,14:48:06,2014-02-05T14:48:06,2014-02-05
38565,T00252874,A00000866,Debit,Remittance to Another Bank,504.0,22271.3,Insurance Payment,Bank of America,94022661.0,2014,2,8,2014-02-08,12:09:28,2014-02-08T12:09:28,2014-02-08
38568,T00252730,A00000866,Debit,Remittance to Another Bank,465.0,21806.3,Household,State Street Corp.,81990486.0,2014,2,8,2014-02-08,11:09:08,2014-02-08T11:09:08,2014-02-08
39019,T00252802,A00000866,Debit,Remittance to Another Bank,38.0,21768.3, ,Citigroup,26753026.0,2014,2,10,2014-02-10,14:00:56,2014-02-10T14:00:56,2014-02-10
39261,T00252658,A00000866,Credit,Credit in Cash,12644.0,34412.3,,,,2014,2,11,2014-02-11,09:16:33,2014-02-11T09:16:33,2014-02-11
41133,T03558811,A00000866,Credit,,128.3,34540.6,Interest Credited,,,2014,2,28,2014-02-28,08:42:35,2014-02-28T08:42:35,2014-02-28
42820,T00253104,A00000866,Debit,Cash Withdrawal,14.6,34526.0,Payment on Statement,,,2014,2,28,2014-02-28,13:47:09,2014-02-28T13:47:09,2014-02-28
43443,T00252947,A00000866,Debit,Remittance to Another Bank,3844.0,30682.0, ,U.S. Bancorp,70676672.0,2014,3,5,2014-03-05,12:47:52,2014-03-05T12:47:52,2014-03-05
43698,T00253175,A00000866,Debit,Cash Withdrawal,2500.0,28182.0,,,,2014,3,6,2014-03-06,14:04:49,2014-03-06T14:04:49,2014-03-06
43992,T00253066,A00000866,Debit,Cash Withdrawal,2600.0,25582.0,,,,2014,3,7,2014-03-07,14:35:38,2014-03-07T14:35:38,2014-03-07
44237,T00252875,A00000866,Debit,Remittance to Another Bank,504.0,24613.0,Insurance Payment,Bank of America,94022661.0,2014,3,8,2014-03-08,12:21:34,2014-03-08T12:21:34,2014-03-08
44242,T00252731,A00000866,Debit,Remittance to Another Bank,465.0,25117.0,Household,State Street Corp.,81990486.0,2014,3,8,2014-03-08,09:37:45,2014-03-08T09:37:45,2014-03-08
44741,T00252803,A00000866,Debit,Remittance to Another Bank,38.0,24575.0, ,Citigroup,26753026.0,2014,3,10,2014-03-10,15:36:35,2014-03-10T15:36:35,2014-03-10
45007,T00252659,A00000866,Credit,Credit in Cash,12644.0,37219.0,,,,2014,3,11,2014-03-11,13:48:01,2014-03-11T13:48:01,2014-03-11
46553,T00005180,A00000022,Credit,Credit in Cash,1100.0,1100.0,,,,2014,3,23,2014-03-23,14:47:34,2014-03-23T14:47:34,2014-03-23
47285,T03558812,A00000866,Credit,,145.1,37364.0,Interest Credited,,,2014,3,31,2014-03-31,16:15:14,2014-03-31T16:15:14,2014-03-31
49056,T00253105,A00000866,Debit,Cash Withdrawal,14.6,37349.4,Payment on Statement,,,2014,3,31,2014-03-31,10:01:02,2014-03-31T10:01:02,2014-03-31
49730,T00253176,A00000866,Debit,Cash Withdrawal,1200.0,36149.4,,,,2014,4,5,2014-04-05,10:60:26,2014-04-05T10:60:26,2014-04-05
49732,T00252948,A00000866,Debit,Remittance to Another Bank,3844.0,32305.4, ,U.S. Bancorp,70676672.0,2014,4,5,2014-04-05,12:47:32,2014-04-05T12:47:32,2014-04-05
50569,T00252876,A00000866,Debit,Remittance to Another Bank,504.0,31336.4,Insurance Payment,Bank of America,94022661.0,2014,4,8,2014-04-08,11:42:22,2014-04-08T11:42:22,2014-04-08
50570,T00252732,A00000866,Debit,Remittance to Another Bank,465.0,31840.4,Household,State Street Corp.,81990486.0,2014,4,8,2014-04-08,16:51:39,2014-04-08T16:51:39,2014-04-08
51128,T00252804,A00000866,Debit,Remittance to Another Bank,38.0,31298.4, ,Citigroup,26753026.0,2014,4,10,2014-04-10,13:25:14,2014-04-10T13:25:14,2014-04-10
51392,T00252660,A00000866,Credit,Credit in Cash,12644.0,43942.4,,,,2014,4,11,2014-04-11,14:53:36,2014-04-11T14:53:36,2014-04-11
51678,T00005184,A00000022,Credit,Credit in Cash,16873.0,17973.0,,,,2014,4,12,2014-04-12,11:18:33,2014-04-12T11:18:33,2014-04-12
52065,T00253067,A00000866,Debit,Cash Withdrawal,4200.0,39742.4,,,,2014,4,13,2014-04-13,16:54:27,2014-04-13T16:54:27,2014-04-13
52956,T00005402,A00000022,Credit,Credit in Cash,3500.0,21473.0,,,,2014,4,22,2014-04-22,08:46:53,2014-04-22T08:46:53,2014-04-22
53680,T03558813,A00000866,Credit,,160.1,39902.5,Interest Credited,,,2014,4,30,2014-04-30,08:60:20,2014-04-30T08:60:20,2014-04-30
55596,T00253106,A00000866,Debit,Cash Withdrawal,14.6,39887.9,Payment on Statement,,,2014,4,30,2014-04-30,11:35:25,2014-04-30T11:35:25,2014-04-30
55630,T03530968,A00000022,Credit,,26.8,21499.8,Interest Credited,,,2014,4,30,2014-04-30,10:06:53,2014-04-30T10:06:53,2014-04-30
56345,T00252949,A00000866,Debit,Remittance to Another Bank,3844.0,33143.9, ,U.S. Bancorp,70676672.0,2014,5,5,2014-05-05,14:29:41,2014-05-05T14:29:41,2014-05-05
56346,T00253177,A00000866,Debit,Cash Withdrawal,2900.0,36987.9,,,,2014,5,5,2014-05-05,13:44:27,2014-05-05T13:44:27,2014-05-05
57248,T00252733,A00000866,Debit,Remittance to Another Bank,465.0,32174.9,Household,State Street Corp.,81990486.0,2014,5,8,2014-05-08,11:28:02,2014-05-08T11:28:02,2014-05-08
57250,T00252877,A00000866,Debit,Remittance to Another Bank,504.0,32639.9,Insurance Payment,Bank of America,94022661.0,2014,5,8,2014-05-08,16:22:35,2014-05-08T16:22:35,2014-05-08
57819,T00252805,A00000866,Debit,Remittance to Another Bank,38.0,32136.9, ,Citigroup,26753026.0,2014,5,10,2014-05-10,15:26:58,2014-05-10T15:26:58,2014-05-10
58111,T00253065,A00000866,Debit,Cash Withdrawal,2200.0,42580.9,,,,2014,5,11,2014-05-11,13:23:15,2014-05-11T13:23:15,2014-05-11
58115,T00252661,A00000866,Credit,Credit in Cash,12644.0,44780.9,,,,2014,5,11,2014-05-11,12:37:22,2014-05-11T12:37:22,2014-05-11
58415,T00005185,A00000022,Credit,Credit in Cash,16873.0,38372.8,,,,2014,5,12,2014-05-12,12:54:05,2014-05-12T12:54:05,2014-05-12
59784,T00005403,A00000022,Debit,Cash Withdrawal,5700.0,32672.8,,,,2014,5,22,2014-05-22,08:00:11,2014-05-22T08:00:11,2014-05-22
60616,T03558814,A00000866,Credit,,175.0,42755.9,Interest Credited,,,2014,5,31,2014-05-31,14:57:30,2014-05-31T14:57:30,2014-05-31
62643,T00253107,A00000866,Debit,Cash Withdrawal,14.6,42741.3,Payment on Statement,,,2014,5,31,2014-05-31,09:48:24,2014-05-31T09:48:24,2014-05-31
62676,T03530969,A00000022,Credit,,104.5,32777.4,Interest Credited,,,2014,5,31,2014-05-31,12:55:29,2014-05-31T12:55:29,2014-05-31
63189,T00253178,A00000866,Credit,Credit in Cash,8700.0,51441.3,,,,2014,6,4,2014-06-04,16:01:22,2014-06-04T16:01:22,2014-06-04
63190,T00253006,A00000866,Debit,Cash Withdrawal,28100.0,23341.3,,,,2014,6,4,2014-06-04,16:58:55,2014-06-04T16:58:55,2014-06-04
63543,T00252950,A00000866,Debit,Remittance to Another Bank,3844.0,19497.3, ,U.S. Bancorp,70676672.0,2014,6,5,2014-06-05,14:41:08,2014-06-05T14:41:08,2014-06-05
64559,T00252734,A00000866,Debit,Remittance to Another Bank,465.0,19032.3,Household,State Street Corp.,81990486.0,2014,6,8,2014-06-08,08:30:31,2014-06-08T08:30:31,2014-06-08
64561,T00252878,A00000866,Debit,Remittance to Another Bank,504.0,18528.3,Insurance Payment,Bank of America,94022661.0,2014,6,8,2014-06-08,08:35:09,2014-06-08T08:35:09,2014-06-08
65222,T00252806,A00000866,Debit,Remittance to Another Bank,38.0,18490.3, ,Citigroup,26753026.0,2014,6,10,2014-06-10,12:40:37,2014-06-10T12:40:37,2014-06-10
65554,T00252662,A00000866,Credit,Credit in Cash,18966.0,37456.3,,,,2014,6,11,2014-06-11,14:31:25,2014-06-11T14:31:25,2014-06-11
65909,T00005186,A00000022,Credit,Credit in Cash,25310.0,58087.4,,,,2014,6,12,2014-06-12,15:12:24,2014-06-12T15:12:24,2014-06-12
67406,T00005404,A00000022,Debit,Cash Withdrawal,15900.0,42187.4,,,,2014,6,21,2014-06-21,14:06:53,2014-06-21T14:06:53,2014-06-21
68463,T03558815,A00000866,Credit,,144.4,37600.6,Interest Credited,,,2014,6,30,2014-06-30,11:45:42,2014-06-30T11:45:42,2014-06-30
70551,T00253108,A00000866,Debit,Cash Withdrawal,14.6,37586.0,Payment on Statement,,,2014,6,30,2014-06-30,09:22:38,2014-06-30T09:22:38,2014-06-30
70589,T03530970,A00000022,Credit,,149.4,42336.7,Interest Credited,,,2014,6,30,2014-06-30,12:20:25,2014-06-30T12:20:25,2014-06-30
71035,T00253179,A00000866,Debit,Cash Withdrawal,6400.0,31186.0,,,,2014,7,4,2014-07-04,13:27:60,2014-07-04T13:27:60,2014-07-04
71363,T00252951,A00000866,Debit,Remittance to Another Bank,3844.0,27342.0, ,U.S. Bancorp,70676672.0,2014,7,5,2014-07-05,14:01:12,2014-07-05T14:01:12,2014-07-05
72002,T00253068,A00000866,Debit,Cash Withdrawal,2500.0,24842.0,,,,2014,7,7,2014-07-07,15:44:46,2014-07-07T15:44:46,2014-07-07
72299,T00252879,A00000866,Debit,Remittance to Another Bank,504.0,24338.0,Insurance Payment,Bank of America,94022661.0,2014,7,8,2014-07-08,14:15:12,2014-07-08T14:15:12,2014-07-08
72303,T00252735,A00000866,Debit,Remittance to Another Bank,465.0,23873.0,Household,State Street Corp.,81990486.0,2014,7,8,2014-07-08,16:12:40,2014-07-08T16:12:40,2014-07-08
72899,T00252807,A00000866,Debit,Remittance to Another Bank,38.0,23835.0, ,Citigroup,26753026.0,2014,7,10,2014-07-10,11:26:16,2014-07-10T11:26:16,2014-07-10
73215,T00252663,A00000866,Credit,Credit in Cash,12644.0,36479.0,,,,2014,7,11,2014-07-11,12:55:37,2014-07-11T12:55:37,2014-07-11
73547,T00005187,A00000022,Credit,Credit in Cash,16873.0,59209.7,,,,2014,7,12,2014-07-12,15:43:51,2014-07-12T15:43:51,2014-07-12
74870,T00005405,A00000022,Debit,Cash Withdrawal,20100.0,39109.7,,,,2014,7,21,2014-07-21,08:52:33,2014-07-21T08:52:33,2014-07-21
75402,T00253071,A00000866,Debit,Cash Withdrawal,2900.0,33579.0,,,,2014,7,29,2014-07-29,15:57:28,2014-07-29T15:57:28,2014-07-29
75795,T03558816,A00000866,Credit,,141.8,33720.8,Interest Credited,,,2014,7,31,2014-07-31,12:57:18,2014-07-31T12:57:18,2014-07-31
77945,T00253109,A00000866,Debit,Cash Withdrawal,14.6,33706.2,Payment on Statement,,,2014,7,31,2014-07-31,08:22:02,2014-07-31T08:22:02,2014-07-31
